Date,AAPL,F,INTC,PFE,T
2007-07-16,4.228646755218506,5.975873947143555,16.902610778808594,13.761476516723633,17.972837448120117
2007-07-17,4.253448963165283,5.8881940841674805,17.150131225585938,13.698153495788574,17.807453155517578
2007-07-18,4.229259490966797,5.82074499130249,16.322914123535156,13.260196685791016,17.713586807250977
2007-07-19,4.286827087402344,5.82074499130249,16.45318031311035,13.186318397521973,17.722530364990234
2007-07-20,4.401650428771973,5.665614604949951,15.990721702575684,13.138829231262207,17.458812713623047
2007-07-23,4.400119781494141,5.706084251403809,16.10144805908203,13.207420349121094,17.892377853393555
2007-07-24,4.1303558349609375,5.5711870193481445,15.977699279785156,13.133550643920898,17.735939025878906
2007-07-25,4.2029266357421875,5.375589370727539,15.958162307739258,13.075506210327148,18.102453231811523
2007-07-26,4.470547676086426,5.456527233123779,15.632476806640625,12.74307632446289,17.865558624267578
2007-07-27,4.4047136306762695,5.550952434539795,15.332857131958008,12.553121566772461,17.539270401000977
2007-07-30,4.330613136291504,5.894937992095947,15.534775733947754,12.5372953414917,17.77617073059082
2007-07-31,4.034515857696533,5.739808559417725,15.384964942932129,12.40538215637207,17.503511428833008
2007-08-01,4.133724689483643,5.685850143432617,15.502208709716797,12.468700408935547,17.981775283813477
2007-08-02,4.179348468780518,5.665614604949951,15.82788372039795,12.584778785705566,18.147153854370117
2007-08-03,4.037271022796631,5.436293125152588,15.646618843078613,12.40538215637207,17.63313102722168
2007-08-06,4.141379356384277,5.523974895477295,15.790586471557617,12.721976280212402,17.995182037353516
2007-08-07,4.1346435546875,5.5981669425964355,15.790586471557617,12.848610877990723,18.08457374572754
2007-08-08,4.1034088134765625,5.982620716094971,16.150501251220703,13.142329216003418,18.03541374206543
2007-08-09,3.870084762573242,5.652125835418701,15.653160095214844,12.89133358001709,17.543739318847656
2007-08-10,3.8275229930877686,5.550952434539795,15.692424774169922,12.811233520507812,17.373889923095703
2007-08-13,3.9129550457000732,5.645380973815918,15.718597412109375,12.757830619812012,17.467758178710938
2007-08-14,3.7978217601776123,5.443037509918213,15.574633598327637,12.592281341552734,17.101232528686523
2007-08-15,3.6713600158691406,5.395824432373047,15.195079803466797,12.56557846069336,16.980548858642578
2007-08-16,3.584092140197754,5.193480491638184,15.116559028625488,12.490815162658691,16.949260711669922
2007-08-17,3.7375006675720215,5.281162738800049,15.50918960571289,12.78453254699707,17.4543399810791
2007-08-20,3.742398738861084,5.395824432373047,15.777494430541992,12.90735149383545,17.275558471679688
